ÝT	2415
RŽ	2402
ÍB	2364
SR	2358
JU	2353
YD	2337
VŽ	2318
ĚŘ	2284
ŮL	2266
HC	2263
HÝ	2248
TC	2247
PS	2238
ÍZ	2217
ĚZ	2212
IR	2198
SC	2191
ĚR	2187
ÁP	2181
ZH	2178
ĚH	2174
IÁ	2172
HŘ	2123
IH	2118
FI	2117
LS	2113
DM	2106
ŠN	2101
FA	2062
ÍŘ	2056
DŘ	2049
HÉ	2046
NŽ	2038
AU	2035
RM	2001
MÝ	1987
LT	1963
CN	1953
IB	1947
RH	1940
LŮ	1935
EU	1926
IP	1924
ÍČ	1918
EG	1889
OŤ	1884
ÁČ	1883
TŮ	1866
GA	1859
ZŮ	1838
VŘ	1808
YH	1803
ŽK	1728
GE	1708
FR	1680
HI	1649
HŮ	1633
AG	1610
RŠ	1603
IA	1598
IO	1586
II	1582
CA	1574
CŮ	1571
GI	1563
GO	1555
ĚČ	1552
ZY	1542
RP	1530
HD	1522
RZ	1520
YČ	1520
LM	1506
ŘA	1504
ŠŤ	1470
TS	1459
YV	1451
EF	1443
ŽA	1436
YR	1436
MŽ	1434
FO	1426
ŠO	1409
LL	1404
ÚS	1396
ĚŠ	1367
PY	1361
EŇ	1358
KM	1357
MS	1348
NG	1341
OF	1325
ÝŠ	1324
RL	1296
YŤ	1296
VC	1287
ŠU	1257
RČ	1256
SH	1254
ZŘ	1253
ÉT	1238
VK	1234
ŤA	1226
JV	1217
TŠ	1190
JŽ	1187
ŠP	1173
NČ	1170
DB	1151
TM	1149
UŘ	1143
EA	1121
ŮZ	1096
ÁJ	1086
GR	1086
OG	1075
PN	1069
ÍP	1065
ŮD	1060
MŘ	1054
ÝB	1048
ČÁ	1045
YŘ	1015
YZ	1000
AF	1000
ŘS	999
LC	981
FE	964
ŽO	963
MP	962
BS	957
GY	956
ÝS	954
MK	950
YM	923
LZ	915
AI	914
VČ	906
ÍJ	898
ÉŽ	878
RG	868
AŇ	862
VT	857
ŽU	856
ŽS	848
MT	845
ÉD	839
CU	839
ZJ	835
UĎ	834
OŇ	832
GL	832
ŮR	828
ĎT	825
ÝK	825
LČ	824
ÚT	818
ÝR	809
LŠ	805
DT	802
UF	802
YJ	775
ČO	769
ZS	750
RB	745
ŮB	744
ZC	741
ÉK	734
PŠ	728
IG	722
BC	721
HM	719
ŽL	713
LH	710
ŽB	703
ÉS	702
LB	688
SB	685
DČ	684
DD	683
KI	676
EX	669
IU	659
ŽT	658
BK	641
JĎ	640
GU	636
PC	630
BJ	616
EI	609
NB	602
LD	602
ŮN	601
UE	600
DH	594
MC	592
AO	590
JC	583
SŤ	579
TB	579
MB	578
ŘK	571
ÚP	570
KŽ	566
SS	565
ÓN	563
DŠ	562
ŘO	561
FL	561
SŮ	556
ĚŤ	551
ŠŠ	549
ÝL	545
NZ	539
ÉV	534
OÁ	532
ČU	530
ÉR	524
TH	524
UI	522
ÉL	518
AA	517
OE	514
ŠÁ	509
ÚZ	501
NŠ	496
BD	487
ŇA	478
ÉZ	474
ÚD	472
LV	472
KS	468
ŽŮ	466
CL	465
DŽ	451
JL	449
HŽ	446
OĎ	446
ÝN	444
ÚČ	443
IÍ	439
ŘN	437
RR	434
PK	428
ŇU	424
ÚŘ	415
ÝČ	407
UA	397
PÝ	394
ŠV	392
IF	373
MM	373
ŇO	370
ŽŠ	369
QU	366
LŽ	361
EÁ	352
OA	351
MD	349
VP	349
ČC	348
TČ	347
CV	341
HK	340
ÉB	335
JK	335
EE	333
KC	324
ĚP	322
ŘŮ	318
PÉ	317
ÝŘ	316
ÚK	314
JP	313
FU	313
JZ	308
JH	307
ZÝ	307
GN	304
TT	295
ÉP	292
CÁ	292
BŠ	291
IŘ	290
BČ	289
ŘT	287
ŘB	285
ÝZ	284
FÁ	283
ZČ	281
ŘU	278
ŇT	277
XI	275
MH	268
JŮ	267
JČ	266
ÉŘ	266
GÁ	266
NV	262
ŽC	261
PP	259
FY	257
ÚC	256
ŤÁ	256
IĎ	255
ÚŽ	243
ZŠ	238
NF	238
UO	238
ÚR	237
IŇ	236
OO	235
DZ	235
ÉČ	233
ŘM	231
BT	229
UG	227
FT	225
ŮK	224
ÝD	222
NJ	222
EY	221
PJ	220
KH	218
DJ	213
BV	213
ŤT	212
ÚL	210
ÍŇ	202
LQ	202
UŤ	201
ŠS	201
ÝH	200
MŠ	199
ŽR	199
VB	198
EŤ	198
CÉ	198
ÚM	196
LŇ	196
YO	195
AÁ	195
ĚĎ	193
JB	190
BÉ	188
TZ	186
AĎ	185
SD	185
XE	184
XP	183
WA	182
ÝP	178
ŤO	178
ŘV	177
KK	176
SÉ	176
ČŮ	172
ĎÁ	172
FÉ	172
IÓ	172
OI	170
XA	168
BZ	164
ŠŮ	164
WI	163
ĎM	162
ŽH	160
ÝŽ	158
CP	156
ŮČ	155
TÓ	153
CY	152
LÓ	152
ÚH	149
ĎA	148
ČM	147
SÝ	145
WE	145
NH	144
ŇS	142
IŤ	141
ŇK	139
JR	137
FÍ	135
ZZ	134
AX	134
YE	133
PČ	132
CC	132
ŇŮ	131
EÚ	131
ZÚ	131
VH	130
ŠM	130
SČ	128
LF	127
ÚV	126
YU	126
SŇ	124
TJ	124
SF	124
UÁ	124
NL	123
FF	121
ŤU	117
OW	115
ŮŘ	114
ÚN	114
LG	114
KP	112
XX	112
ŠC	111
HŤ	110
ÝJ	110
EW	109
YŇ	108
GH	108
SJ	107
ŠŇ	105
CR	103
ŮŇ	102
ŮT	102
ŽV	101
ÁŇ	100
ŮP	100
PŤ	99
LP	98
IÉ	97
MF	95
GM	95
GÓ	94
ŘP	93
ÉŠ	92
CM	91
XT	90
FN	89
BB	86
ÉC	85
KZ	85
OX	84
UŇ	83
ČP	83
OY	83
MČ	82
RŇ	82
AY	82
IX	82
XV	82
LŤ	80
YA	80
BŽ	79
WO	78
ŇÁ	77
GS	77
ŘČ	76
RF	75
ÓZ	74
GD	74
ZŇ	74
HZ	72
RÍ	71
FŮ	71
ŽM	69
ÓR	68
ZŽ	67
RX	67
XC	67
ÍŤ	66
HB	65
AÚ	64
PŇ	63
PÓ	62
ŠB	62
BH	61
XO	61
ÓD	60
ĚŇ	59
VJ	59
HČ	58
TD	58
HŇ	57
KŠ	57
JJ	56
GG	56
ŽĎ	55
RÓ	55
ŠR	54
RJ	54
PH	54
ČČ	54
BM	53
GŮ	53
VM	52
FJ	52
EÍ	51
ŘC	50
MZ	50
ČS	49
ŮC	48
EŮ	48
JF	48
DŇ	47
MV	47
KČ	46
YG	46
