MU	3231856188	187	0.00115
BR	3145611704	188	0.00112
BI	3005679357	189	0.00107
PT	2982699529	190	0.00106
AK	2952167845	191	0.00105
PU	2947681332	192	0.00105
UI	2852182384	193	0.00101
RG	2813274913	194	0.00100
IB	2780268452	195	0.00099
TL	2775935006	196	0.00098
NY	2760941827	197	0.00098
KI	2759841743	198	0.00098
RK	2736041446	199	0.00097
YS	2730343336	200	0.00097
OB	2725791138	201	0.00097
MM	2708822249	202	0.00096
FU	2706168901	203	0.00096
PH	2661480326	204	0.00094
OG	2651165734	205	0.00094
MS	2617582287	206	0.00093
YE	2612941418	207	0.00093
UD	2577213760	208	0.00091
MB	2544901434	209	0.00090
IP	2515455253	210	0.00089
UB	2497666762	211	0.00089
OI	2474275212	212	0.00088
RL	2432373251	213	0.00086
GU	2418410978	214	0.00086
DR	2409399231	215	0.00085
HR	2379584978	216	0.00084
CC	2344219345	217	0.00083
TW	2322619238	218	0.00082
FT	2302659749	219	0.00082
WN	2227183930	220	0.00079
NU	2217508482	221	0.00079
AF	2092395523	222	0.00074
HU	2077887429	223	0.00074
NN	2051719074	224	0.00073
EO	2044268477	225	0.00073
VO	2004982879	226	0.00071
RV	1953555667	227	0.00069
NF	1894270041	228	0.00067
XP	1885334638	229	0.00067
GN	1850801359	230	0.00066
SM	1838392669	231	0.00065
FL	1830098844	232	0.00065
IZ	1814164135	233	0.00064
OK	1813376076	234	0.00064
NL	1798491132	235	0.00064
MY	1753447198	236	0.00062
GL	1709752272	237	0.00061
AW	1689436638	238	0.00060
JU	1655210582	239	0.00059
OA	1620913259	240	0.00057
EQ	1614312175	241	0.00057
SY	1602829285	242	0.00057
SL	1575646777	243	0.00056
PS	1538723474	244	0.00055
JO	1516687319	245	0.00054
LF	1507867867	246	0.00053
NV	1466426243	247	0.00052
JE	1463052212	248	0.00052
NK	1455100124	249	0.00052
KN	1450401608	250	0.00051
GS	1443474876	251	0.00051
DY	1421751251	252	0.00050
HY	1412343465	253	0.00050
ZE	1402290616	254	0.00050
KS	1339590722	255	0.00048
XT	1315669490	256	0.00047
BS	1292319275	257	0.00046
IK	1209994695	258	0.00043
DD	1205446875	259	0.00043
CY	1176324279	260	0.00042
RP	1173542093	261	0.00042
SK	1112771273	262	0.00039
XI	1111463633	263	0.00039
OE	1089254517	264	0.00039
OY	1020190223	265	0.00036
WS	989253674	266	0.00035
LV	984229060	267	0.00035
DL	911886482	268	0.00032
RF	909634941	269	0.00032
EU	878402090	270	0.00031
DG	874188188	271	0.00031
WR	867361010	272	0.00031
XA	834649781	273	0.00030
YI	812619095	274	0.00029
NM	782441941	275	0.00028
EB	763383542	276	0.00027
RB	753194669	277	0.00027
TM	746621025	278	0.00026
XC	746076293	279	0.00026
EH	742240059	280	0.00026
TC	736955048	281	0.00026
GY	731420025	282	0.00026
JA	729206855	283	0.00026
HN	726288117	284	0.00026
YP	702499946	285	0.00025
ZA	702199296	286	0.00025
GG	697999944	287	0.00025
YM	667551857	288	0.00024
SW	663415953	289	0.00024
BJ	654853039	290	0.00023
LM	649112313	291	0.00023
CS	643530723	292	0.00023
II	642384029	293	0.00023
IX	621227893	294	0.00022
XE	614533122	295	0.00022
OH	602121281	296	0.00021
LK	555883002	297	0.00020
DV	537221821	298	0.00019
LP	536595562	299	0.00019
AX	531206960	300	0.00019
OX	523764012	301	0.00019
UF	522547858	302	0.00019
DM	512522701	303	0.00018
IU	490874936	304	0.00017
SF	483979931	305	0.00017
BT	482272940	306	0.00017
KA	478095427	307	0.00017
YT	470429861	308	0.00017
EK	464449289	309	0.00016
PM	449910017	310	0.00016
YA	444542870	311	0.00016
GT	434302509	312	0.00015
WL	429185823	313	0.00015
RH	426095630	314	0.00015
YL	416082307	315	0.00015
HS	414044112	316	0.00015
AH	384694919	317	0.00014
YC	380670476	318	0.00014
YN	372595315	319	0.00013
RW	359714599	320	0.00013
HM	359316447	321	0.00013
LW	356374125	322	0.00013
HL	355049620	323	0.00013
AE	349540062	324	0.00012
ZI	341671190	325	0.00012
AZ	334669428	326	0.00012
LC	333338045	327	0.00012
PY	331698156	328	0.00012
AJ	331384552	329	0.00012
IQ	318727904	330	0.00011
NJ	312598990	331	0.00011
BB	308276690	332	0.00011
NH	306883963	333	0.00011
UO	300484143	334	0.00011
KL	298033281	335	0.00011
LR	283411884	336	0.00010
TN	282266629	337	0.00010
GM	277966576	338	0.00010
SN	258702825	339	0.00009
NR	258048421	340	0.00009
FY	256535008	341	0.00009
MN	247850339	342	0.00009
DW	230152384	343	0.00008
SB	223212317	344	0.00008
YR	219696469	345	0.00008
DN	213431654	346	0.00008
SQ	209894196	347	0.00007
ZO	202480511	348	0.00007
OJ	196696657	349	0.00007
YD	192245315	350	0.00007
LB	188643782	351	0.00007
WT	184446342	352	0.00007
LG	171657388	353	0.00006
KO	171324962	354	0.00006
NP	170186564	355	0.00006
