PRO	24819	1	0.00487
OST	24156	2	0.00474
JAK	22258	3	0.00437
STA	18603	4	0.00365
TAK	17459	5	0.00343
BYL	16698	6	0.00328
POD	15992	7	0.00314
SEM	15251	8	0.00299
PŘE	14930	9	0.00293
OVA	14696	10	0.00288
ALE	14643	11	0.00287
ECH	14177	12	0.00278
AKO	13713	13	0.00269
KDY	13382	14	0.00263
JSE	13307	15	0.00261
ÉHO	13237	16	0.00260
PŘI	13035	17	0.00256
VAL	12415	18	0.00244
ÝCH	11972	19	0.00235
LOV	11798	20	0.00232
NEB	11756	21	0.00231
ODI	11377	22	0.00223
SPO	11267	23	0.00221
DĚL	11238	24	0.00221
ROZ	11106	25	0.00218
PRA	10938	26	0.00215
NOU	10749	27	0.00211
KTE	10482	28	0.00206
ENÍ	10457	29	0.00205
TER	10338	30	0.00203
VŠE	10033	31	0.00197
RAV	9882	32	0.00194
ICH	9842	33	0.00193
DIN	9829	34	0.00193
EHO	9534	35	0.00187
EST	9516	36	0.00187
STI	9484	37	0.00186
ALI	9124	38	0.00179
BUD	8980	39	0.00176
KRÁ	8879	40	0.00174
STO	8845	41	0.00174
NOV	8704	42	0.00171
CHO	8652	43	0.00170
JEN	8576	44	0.00168
DYŽ	8446	45	0.00166
HOS	8380	46	0.00164
JED	8342	47	0.00164
EDN	8269	48	0.00162
ŘED	8148	49	0.00160
STR	8134	50	0.00160
OSP	8101	51	0.00159
NEM	8061	52	0.00158
JEH	7908	53	0.00155
ABY	7886	54	0.00155
NOS	7874	55	0.00155
SOU	7831	56	0.00154
LOU	7669	57	0.00150
KOU	7661	58	0.00150
PAN	7626	59	0.00150
STE	7617	60	0.00149
IST	7577	61	0.00149
EBO	7571	62	0.00149
OVĚ	7485	63	0.00147
NIC	7411	64	0.00145
ŘEK	7330	65	0.00144
OHO	7316	66	0.00144
TEN	7285	67	0.00143
TOM	7252	68	0.00142
POS	7230	69	0.00142
OTO	7208	70	0.00141
SVÉ	7207	71	0.00141
VAT	7200	72	0.00141
NES	7196	73	0.00141
HLA	7154	74	0.00140
POV	7039	75	0.00138
PŘÍ	7036	76	0.00138
LID	6831	77	0.00134
HOD	6723	78	0.00132
ILI	6675	79	0.00131
UDE	6672	80	0.00131
KOL	6641	81	0.00130
ŠTĚ	6638	82	0.00130
OVI	6536	83	0.00128
ÍCH	6512	84	0.00128
JEJ	6505	85	0.00128
VID	6459	86	0.00127
DAL	6448	87	0.00127
ROT	6446	88	0.00126
KON	6430	89	0.00126
AJÍ	6429	90	0.00126
DOB	6389	91	0.00125
VĚT	6364	92	0.00125
ELI	6325	93	0.00124
HLE	6297	94	0.00124
