E	445155370175	1	0.12492
T	330535289102	2	0.09276
A	286527429118	3	0.08041
O	272276534337	4	0.07641
I	269731642485	5	0.07569
N	257770795264	6	0.07234
S	232082812755	7	0.06513
R	223767519675	8	0.06279
H	180074687596	9	0.05053
L	144998552911	10	0.04069
D	136017528785	11	0.03817
C	119155568598	12	0.03344
U	97273082907	13	0.02730
M	89506734085	14	0.02512
F	85635440629	15	0.02403
P	76112599849	16	0.02136
G	66615316232	17	0.01869
W	59712390260	18	0.01676
Y	59331661972	19	0.01665
B	52905544693	20	0.01485
V	37532682260	21	0.01053
K	19261229433	22	0.00541
X	8369138754	23	0.00235
J	5657910830	24	0.00159
Q	4292916949	25	0.00120
Z	3205398166	26	0.00090
