O	52731583	1	0.08214
E	49293144	2	0.07679
A	46251457	3	0.07205
N	40983420	4	0.06384
T	32410783	5	0.05049
S	30817836	6	0.04801
L	29729572	7	0.04631
I	29391082	8	0.04579
V	28843097	9	0.04493
R	28404538	10	0.04425
K	24690328	11	0.03846
D	21592558	12	0.03364
U	20259912	13	0.03156
M	19813668	14	0.03087
P	19594590	15	0.03052
Í	17652264	16	0.02750
C	17039409	17	0.02654
H	15317390	18	0.02386
Z	13149878	19	0.02048
Á	12812955	20	0.01996
Y	11825360	21	0.01842
J	11537807	22	0.01797
B	11488483	23	0.01790
Ě	8749759	24	0.01363
É	7783608	25	0.01213
Ř	6760973	26	0.01053
Ý	5851107	27	0.00911
Č	5497610	28	0.00856
Ž	5213753	29	0.00812
Š	4321303	30	0.00673
G	3108491	31	0.00484
Ů	2997645	32	0.00467
F	2835352	33	0.00442
Ú	904405	34	0.00141
W	692397	35	0.00108
X	579985	36	0.00090
Ň	356229	37	0.00055
Ó	260070	38	0.00041
Ť	206771	39	0.00032
Ď	105180	40	0.00016
Q	79073	41	0.00012
